rbp_id,receptor_id,predicted_score,std,epistemic_std,lower_95,upper_95,model_version,bald_score,bald_rank,selection_reason
rbp_07,rec_02,5.177332878112793,0.7208110094070435,0.2182649970054626,3.7645440101623535,6.590122222900391,aa99d51_cycle_0,0.2182649970054626,1,safe_pick_bald_top_1
rbp_03,rec_01,4.810198783874512,0.7735180258750916,0.1967329978942871,3.294102907180786,6.3262939453125,aa99d51_cycle_0,0.1967329978942871,2,safe_pick_bald_top_2
rbp_05,rec_02,4.906466007232666,0.761214017868042,0.1964740008115768,3.4144859313964844,6.398446083068848,aa99d51_cycle_0,0.1964740008115768,3,safe_pick_bald_top_3
rbp_01,rec_02,5.128352165222168,0.7264729738235474,0.1899279952049255,3.704464912414551,6.552239894866943,aa99d51_cycle_0,0.1899279952049255,4,safe_pick_bald_top_4
rbp_13,rec_01,4.7668561935424805,0.7485520243644714,0.1868689954280853,3.2996950149536133,6.234017848968506,aa99d51_cycle_0,0.1868689954280853,5,safe_pick_bald_top_5
rbp_17,rec_02,4.971764087677002,0.7248950004577637,0.1812559962272644,3.5509700775146484,6.392559051513672,aa99d51_cycle_0,0.1812559962272644,6,safe_pick_bald_top_6
rbp_16,rec_01,4.662543773651123,0.751999020576477,0.1725270003080368,3.1886260509490967,6.136462211608887,aa99d51_cycle_0,0.1725270003080368,7,safe_pick_bald_top_7
rbp_03,rec_02,4.907812118530273,0.7538809776306152,0.1714760065078735,3.4302051067352295,6.385419845581055,aa99d51_cycle_0,0.1714760065078735,8,safe_pick_bald_top_8
rbp_11,rec_02,5.196353912353516,0.7397800087928772,0.1661570072174072,3.7463839054107666,6.646324157714844,aa99d51_cycle_0,0.1661570072174072,9,safe_pick_bald_top_9
rbp_14,rec_02,5.356542110443115,0.7189180254936218,0.1620869934558868,3.947463035583496,6.765620231628418,aa99d51_cycle_0,0.1620869934558868,10,safe_pick_bald_top_10
