filename,sha256,bytes,n_records,created_utc,source_acc,source_module,notes
embeddings_esm2_t6_8M_phiL7_rbps.npz,36d98e598f47f0dc288abe43c40dbf70d4c30dde18ae866670f781e366679c26,5705,3,2026-05-12T05:19:21.399825+00:00,EU717894.1,04_protein_embedding,phiL7 RBP embeddings from Module 03 real sequences (rbp_01 712aa rbp_02 918aa rbp_03 224aa)
embeddings_esm2_t6_8M_xcc_receptors.npz,e9570b5f4df5bca75bb53df64e314354a74dcea15404bff6930d48338312edcc,7023,4,2026-05-12T05:19:21.399825+00:00,GCF_000007145.1,04_protein_embedding,Xcc TonB/ExbB/ExbD1/ExbD2 receptors
mock_phiL7_rbp_sequences.faa,602aa33e43e5830e53d1a87c4ec83d1c5ed6e56aed0a7a0d7541ad4545fc1f35,1864,5,2026-05-08T05:26:03.511275+00:00,EU717894.1,04_protein_embedding,DEPRECATED: mock RBP FASTA (replaced by Module 03 real sequences)
xcc_receptors.faa,6033ccf00411c8886cd60c8d6113887046e2a4db5abb9fd1bb5236d1bee87603,1129,4,2026-05-08T05:26:03.511275+00:00,GCF_000007145.1,04_protein_embedding,Xcc receptor FASTA (inputs/)
