Phage,Phage_Accession,Host_Name,Host_Accession,Affinity,Source
"Escherichia phage vB_EcoM_ED, complete genome",PV920691.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Escherichia|NCBI:PV920691.1
"Escherichia phage vB_EcoM_D15, complete genome",PX651718.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Escherichia|NCBI:PX651718.1
"Escherichia phage vB_EcoM_D15, complete genome",PX651718.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Escherichia|NCBI:PX651718.1
"Escherichia phage vB_EcoM_D15, complete genome",PX651718.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Escherichia|NCBI:PX651718.1
"Escherichia phage vB_EcoM_D15, complete genome",PX651718.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Escherichia|NCBI:PX651718.1
"Escherichia phage vB_EcoD_Poky, complete genome",NC_105433.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Escherichia|NCBI:NC_105433.1
"Escherichia phage vB_EcoD_Poky, complete genome",NC_105433.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Escherichia|NCBI:NC_105433.1
"Escherichia phage vB_EcoD_Poky, complete genome",NC_105433.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Escherichia|NCBI:NC_105433.1
"Escherichia phage vB_EcoD_Poky, complete genome",NC_105433.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Escherichia|NCBI:NC_105433.1
"Escherichia phage vB_EcoS_SA32RD, complete genome",NC_105619.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Escherichia|NCBI:NC_105619.1
"Escherichia phage vB_EcoS_SA32RD, complete genome",NC_105619.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Escherichia|NCBI:NC_105619.1
"Escherichia phage vB_EcoS_SA32RD, complete genome",NC_105619.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Escherichia|NCBI:NC_105619.1
"Escherichia phage vB_EcoS_SA32RD, complete genome",NC_105619.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Escherichia|NCBI:NC_105619.1
"Escherichia phage vB_EcoS_SA30RD, complete genome",NC_105618.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Escherichia|NCBI:NC_105618.1
"Escherichia phage vB_EcoS_SA30RD, complete genome",NC_105618.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Escherichia|NCBI:NC_105618.1
"Escherichia phage vB_EcoS_SA30RD, complete genome",NC_105618.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Escherichia|NCBI:NC_105618.1
"Escherichia phage vB_EcoS_SA30RD, complete genome",NC_105618.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Escherichia|NCBI:NC_105618.1
"Escherichia phage vB_EcoS_SA12KD, complete genome",NC_105617.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Escherichia|NCBI:NC_105617.1
"Escherichia phage vB_EcoS_SA12KD, complete genome",NC_105617.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Escherichia|NCBI:NC_105617.1
"Escherichia phage vB_EcoS_SA12KD, complete genome",NC_105617.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Escherichia|NCBI:NC_105617.1
"Escherichia phage vB_EcoS_SA12KD, complete genome",NC_105617.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Escherichia|NCBI:NC_105617.1
"Escherichia phage LHE71, complete genome",NC_109358.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Escherichia|NCBI:NC_109358.1
"Escherichia phage LHE71, complete genome",NC_109358.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Escherichia|NCBI:NC_109358.1
"Escherichia phage LHE71, complete genome",NC_109358.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Escherichia|NCBI:NC_109358.1
"Escherichia phage LHE71, complete genome",NC_109358.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Escherichia|NCBI:NC_109358.1
"Escherichia phage Lg3, complete genome",NC_107631.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Escherichia|NCBI:NC_107631.1
"Escherichia phage Lg3, complete genome",NC_107631.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Escherichia|NCBI:NC_107631.1
"Escherichia phage Lg3, complete genome",NC_107631.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Escherichia|NCBI:NC_107631.1
"Escherichia phage Lg3, complete genome",NC_107631.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Escherichia|NCBI:NC_107631.1
"Escherichia phage LeonhardEuler, complete genome",NC_105106.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Escherichia|NCBI:NC_105106.1
"Escherichia phage LeonhardEuler, complete genome",NC_105106.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Escherichia|NCBI:NC_105106.1
"Escherichia phage LeonhardEuler, complete genome",NC_105106.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Escherichia|NCBI:NC_105106.1
"Escherichia phage LeonhardEuler, complete genome",NC_105106.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Escherichia|NCBI:NC_105106.1
"Escherichia phage CLB_P3, complete genome",NC_105788.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Escherichia|NCBI:NC_105788.1
"Escherichia phage CLB_P3, complete genome",NC_105788.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Escherichia|NCBI:NC_105788.1
"Escherichia phage CLB_P3, complete genome",NC_105788.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Escherichia|NCBI:NC_105788.1
"Escherichia phage CLB_P3, complete genome",NC_105788.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Escherichia|NCBI:NC_105788.1
"Escherichia phage vB_EcoS_Chapo, complete genome",NC_129764.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Escherichia|NCBI:NC_129764.1
"Escherichia phage vB_EcoS_Chapo, complete genome",NC_129764.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Escherichia|NCBI:NC_129764.1
"Escherichia phage vB_EcoS_Chapo, complete genome",NC_129764.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Escherichia|NCBI:NC_129764.1
"Escherichia phage vB_EcoS_Chapo, complete genome",NC_129764.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Escherichia|NCBI:NC_129764.1
"Escherichia phage BrunoManser, complete genome",NC_105105.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Escherichia|NCBI:NC_105105.1
"Escherichia phage BrunoManser, complete genome",NC_105105.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Escherichia|NCBI:NC_105105.1
"Escherichia phage BrunoManser, complete genome",NC_105105.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Escherichia|NCBI:NC_105105.1
"Escherichia phage BrunoManser, complete genome",NC_105105.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Escherichia|NCBI:NC_105105.1
"Erwinia amylovora ATCC 49946, complete sequence",NC_013971.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Escherichia|NCBI:NC_013971.1
"Erwinia amylovora ATCC 49946, complete sequence",NC_013971.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Escherichia|NCBI:NC_013971.1
"Erwinia amylovora ATCC 49946, complete sequence",NC_013971.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Escherichia|NCBI:NC_013971.1
"Erwinia amylovora ATCC 49946, complete sequence",NC_013971.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Escherichia|NCBI:NC_013971.1
