Phage,Phage_Accession,Host_Name,Host_Accession,Affinity,Source
"Bacillus phage JBA6, complete genome",OK625815.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:OK625815.1
"Bacillus phage BCC348, complete genome",OK513034.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:OK513034.1
"Bacillus phage BCC348, complete genome",OK513034.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:OK513034.1
"Bacillus phage BCC348, complete genome",OK513034.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:OK513034.1
"Bacillus phage BCC348, complete genome",OK513034.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:OK513034.1
"Enterococcus phage PEf771, complete genome",NC_129615.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:NC_129615.1
"Enterococcus phage PEf771, complete genome",NC_129615.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:NC_129615.1
"Enterococcus phage PEf771, complete genome",NC_129615.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:NC_129615.1
"Enterococcus phage PEf771, complete genome",NC_129615.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:NC_129615.1
"Atrivirus PS6, complete genome",NC_104266.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:NC_104266.1
"Atrivirus PS6, complete genome",NC_104266.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:NC_104266.1
"Atrivirus PS6, complete genome",NC_104266.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:NC_104266.1
"Atrivirus PS6, complete genome",NC_104266.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:NC_104266.1
"Ruminococcus phage phiRg507T2_3, complete genome",NC_104263.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:NC_104263.1
"Ruminococcus phage phiRg507T2_3, complete genome",NC_104263.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:NC_104263.1
"Ruminococcus phage phiRg507T2_3, complete genome",NC_104263.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:NC_104263.1
"Ruminococcus phage phiRg507T2_3, complete genome",NC_104263.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:NC_104263.1
"Ruminococcus phage phiRg507T2_2, complete genome",NC_104262.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:NC_104262.1
"Ruminococcus phage phiRg507T2_2, complete genome",NC_104262.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:NC_104262.1
"Ruminococcus phage phiRg507T2_2, complete genome",NC_104262.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:NC_104262.1
"Ruminococcus phage phiRg507T2_2, complete genome",NC_104262.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:NC_104262.1
"Ruminococcus phage phiRgIBDN1, complete genome",NC_104265.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:NC_104265.1
"Ruminococcus phage phiRgIBDN1, complete genome",NC_104265.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:NC_104265.1
"Ruminococcus phage phiRgIBDN1, complete genome",NC_104265.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:NC_104265.1
"Ruminococcus phage phiRgIBDN1, complete genome",NC_104265.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:NC_104265.1
"Ruminococcus phage phiRM10, complete genome",NC_104261.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:NC_104261.1
"Ruminococcus phage phiRM10, complete genome",NC_104261.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:NC_104261.1
"Ruminococcus phage phiRM10, complete genome",NC_104261.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:NC_104261.1
