filename,sha256,bytes,n_records,created_utc,source_acc,source_module,notes
EU717894.1.faa,9eb0c91dd1a4ee6f9284fb875d3114cb75b09427b6d48d1bbef4a52ffcef2c6a,23526,80,2026-05-08T05:30:35Z,EU717894.1,02_annotation,PHANOTATE protein FASTA
EU717894.1.gff3,0a3cea131a8607c2c25ccc8409d66247cdaf6c75dc7f96b020fa52a5443593ed,8419,80,2026-05-08T05:30:35Z,EU717894.1,02_annotation,PHANOTATE GFF3 ORF coords
NZ_CP155948.1.faa,8cdc629ff408254e1666e00ebabec3fd06b5a2a479a90b4aa224789932af60ac,2029273,4344,2026-05-08T05:31:04Z,NZ_CP155948.1,02_annotation,pyrodigal protein FASTA
NZ_CP155948.1.gff3,6dd7391be90994d22ea51b71bdd4928ebdc278a1a2c3cf982c6f53075ce11c94,458673,4344,2026-05-08T05:31:04Z,NZ_CP155948.1,02_annotation,pyrodigal GFF3 ORF coords
